track_id,duration,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,release_year
2zpiccjPSl315SqthyDf9j,116307,74,0.799,0.592,9,-7.385,0,0.274,0.339,0.0,0.0862,0.768,129.916,1.93845,2022
5UcQhx8ulCedDE43IQZNV3,114461,65,0.851,0.619,7,-4.106,0,0.103,0.561,0.0,0.0623,0.6,129.943,1.9076833333333334,2022
07ju745iEQFzrMsX7UUzVc,144186,67,0.728,0.586,4,-6.706,0,0.106,0.238,0.0,0.0687,0.721,128.922,2.4031,2022
0K3u2t8YNuJ5NR9lKC1frv,165996,73,0.791,0.709,2,-6.179,1,0.104,0.0351,0.0,0.225,0.458,129.991,2.7666,2022
35ovElsgyAtQwYPYnZJECg,196519,90,0.247,0.299,9,-6.083,1,0.0315,0.899,0.0,0.131,0.172,177.115,3.275316666666667,2022
6BF3nZQkAg9qvE0DLVSfyH,221857,74,0.584,0.311,10,-11.642,0,0.232,0.79,0.0,0.0862,0.623,139.581,3.6976166666666668,2022
3hbtxis0jMinjRzv3Hy7iA,148048,68,0.73,0.966,11,-1.794,0,0.0619,0.081,7.93e-05,0.0946,0.891,168.091,2.4674666666666667,2022
5ildQOEKmJuWGl2vRkFdYc,157017,91,0.919,0.623,7,-6.521,1,0.0992,0.184,1.63e-05,0.0609,0.775,130.037,2.61695,2022
2oNSHvGBGZIrZouRAA1eaX,170396,73,0.825,0.758,9,-1.73,0,0.238,0.0895,0.0,0.0661,0.828,176.059,2.839933333333333,2022
38T0tPVZHcPZyhtOcCP7pF,210575,90,0.637,0.715,2,-4.971,0,0.0455,0.148,0.0,0.0892,0.308,141.872,3.5095833333333335,2022
72DbvEOeqtJbKAX9GLzRER,164560,62,0.731,0.642,4,-5.106,0,0.0695,0.209,0.0,0.242,0.504,94.961,2.7426666666666666,2022
72yP0DUlWPyH8P7IoxskwN,202245,86,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,3.37075,2022
3sd2p4kE7xQmFH3lPnFl6h,125245,76,0.925,0.454,3,-3.533,0,0.273,0.252,4.19e-06,0.128,0.771,135.02,2.0874166666666665,2022
2eFsVynOiCxtI4kvX0XClm,187619,63,0.755,0.806,4,-7.88,0,0.089,0.0834,3.71e-05,0.296,0.441,129.867,3.1269833333333334,2021
21jGcNKet2qwijlDFuPiPb,215280,86,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,3.588,2019
0e7ipj03S05BNilyu5bRzt,218146,85,0.585,0.52,5,-6.136,0,0.0712,0.124,7.01e-05,0.131,0.129,159.801,3.6357666666666666,2018
0t3ZvGKlmYmVsDzBJAXK8C,174853,80,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,2.9142166666666665,2019
