track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_mins,playlist_id,playlist_name,release_year
009ImBOrIUlWgla8U05RAC,Unconditionally,6jJ0s89eD6GaHleKKya26X,Katy Perry,3jB9yFDwRe3KhtGnHXJntk,228878,2013-01-01,80,0.432,0.725,7,-4.862,1,0.0431,0.00273,0.0,0.208,0.353,128.902,3.8146333333333335,56uBMvAujYa1ZLSqkYk6hg,final,2013
5PYQUBXc7NYeI1obMKSJK0,Never Really Over,6jJ0s89eD6GaHleKKya26X,Katy Perry,3KjXg0MDej2pG9fv6I22lT,223523,2019-05-31,71,0.77,0.882,8,-4.792,1,0.0602,0.194,0.0,0.316,0.385,99.991,3.7253833333333333,56uBMvAujYa1ZLSqkYk6hg,final,2019
1CwNogTShsnsn1C8UhRmYX,Rise,6jJ0s89eD6GaHleKKya26X,Katy Perry,7oqEOzrJhQkMHvHKEHEMrK,203474,2016-07-15,63,0.553,0.639,11,-6.445,1,0.0458,0.0468,0.0,0.107,0.442,101.418,3.3912333333333335,56uBMvAujYa1ZLSqkYk6hg,final,2016
2iuZJX9X9P0GKaE93xcPjk,Sugar,04gDigrS5kc9YWfZHwBETP,Maroon 5,2Auw0pTT6EcQdvHNimhLQI,235493,2014-09-02,81,0.748,0.788,1,-7.055,1,0.0334,0.0591,0.0,0.0863,0.884,120.076,3.9248833333333333,56uBMvAujYa1ZLSqkYk6hg,final,2014
0GxQ1A5L9xnMOytbP6eKBG,What Lovers Do (feat. SZA),04gDigrS5kc9YWfZHwBETP,Maroon 5,1Li4rADxSxjT2g4xqUcMYh,199849,2018-06-15,72,0.799,0.597,5,-5.131,0,0.0611,0.0788,5.66e-06,0.1,0.419,110.001,3.3308166666666668,56uBMvAujYa1ZLSqkYk6hg,final,2018
7sapKrjDij2fpDVj0GxP66,She Will Be Loved,04gDigrS5kc9YWfZHwBETP,Maroon 5,1Rv9WRKyYhFaGbuYDaQunN,257133,2002-06-25,74,0.706,0.713,0,-5.512,0,0.0301,0.0596,0.0,0.132,0.544,102.037,4.28555,56uBMvAujYa1ZLSqkYk6hg,final,2002
4gbVRS8gloEluzf0GzDOFc,Maps,04gDigrS5kc9YWfZHwBETP,Maroon 5,2Auw0pTT6EcQdvHNimhLQI,189960,2014-09-02,84,0.742,0.713,1,-5.522,0,0.0303,0.0205,0.0,0.059,0.879,120.032,3.166,56uBMvAujYa1ZLSqkYk6hg,final,2014
5o3GnrcFtvkdf3zFznuSbA,Don't Wanna Know (feat. Kendrick Lamar),04gDigrS5kc9YWfZHwBETP,Maroon 5,1Li4rADxSxjT2g4xqUcMYh,214265,2018-06-15,70,0.783,0.61,7,-6.124,1,0.0696,0.343,0.0,0.0983,0.418,100.047,3.571083333333333,56uBMvAujYa1ZLSqkYk6hg,final,2018
2NlTOhsAamXOaZciOXbITb,Cold (feat. Future),04gDigrS5kc9YWfZHwBETP,Maroon 5,1Li4rADxSxjT2g4xqUcMYh,234308,2018-06-15,72,0.693,0.717,9,-6.346,0,0.107,0.14,0.0,0.0464,0.412,99.836,3.905133333333333,56uBMvAujYa1ZLSqkYk6hg,final,2018
1XGmzt0PVuFgQYYnV2It7A,Payphone,04gDigrS5kc9YWfZHwBETP,Maroon 5,6ijGiBcBfUwkoyHn5VUHU2,231173,2012-01-01,85,0.743,0.752,4,-4.813,1,0.0414,0.0188,0.0,0.287,0.545,110.015,3.852883333333333,56uBMvAujYa1ZLSqkYk6hg,final,2012
